Front,Back,Extra,Mnemonic,CardType,Tags,ImageURL,ImageAlt,Topic,Source,CardID
What is component 3 of 3 in three service roles of priesthood and consecrated life?,Leading God's people,Explanation: Priests and religious dedicate their lives fully to God and serve the Church through these roles. Source: Theology-of-the-Body-VOCATION.pdf p.1 Context: Vocation Marriage and Consecrated Life background is assumed; review theology-vocation-refined.md:line-113 if unfamiliar.,"TSL: Teaching, Sanctifying, Leading God's people",qa,theology-of-the-body vocation consecrated-life vocation-marriage-and-consecrated-life auto,,,Vocation Marriage and Consecrated Life,theology-vocation-refined.md:line-113,995d9c28e05ac1dd
What is component 5 of 5 in Ways to discern God's call?,Know yourself and your gifts,Explanation: Pray to the Holy Spirit; Seek advice from a vocation director or trusted mentor; Go on retreats and recollections; Receive the sacraments; Know yourself and your gifts Source: Theology-of-the-Body-VOCATION.pdf p.2 Context: Single Blessedness Chastity and Discernment background is assumed; review theology-vocation-refined.md:line-77 if unfamiliar.,"PSGRK: Pray to the Holy Spirit, Seek advice from a vocation director or trusted mentor, Go on retreats and recollections, Receive the sacraments, Know yourself and your gifts",qa,theology-of-the-body vocation single-blessedness-chastity-and-discernment auto,,,Single Blessedness Chastity and Discernment,theology-vocation-refined.md:line-77,162a82969b8e000c
"Complete: In Genesis, man and woman are united as ___ (Gen 2:24).",one flesh,"Explanation: In Genesis, man and woman are united as one flesh (Gen 2:24). Source: Theology-of-the-Body-VOCATION.pdf p.1 Context: Vocation Marriage and Consecrated Life background is assumed; review theology-vocation-refined.md:line-29 if unfamiliar.",,qa,theology-of-the-body vocation vocation-marriage-and-consecrated-life auto,,,Vocation Marriage and Consecrated Life,theology-vocation-refined.md:line-29,de6771c1224f8358
What is component 3 of 4 in Celibacy helps us…?,Be a sign of heaven's eternal union with God,"Explanation: Give our whole heart to God; Focus on mission, prayer, and service; Be a sign of heaven's eternal union with God; Show that real love is sacrifice and self-giving Source: Theology-of-the-Body-VOCATION.pdf p.2 Context: Single Blessedness Chastity and Discernment background is assumed; review theology-vocation-refined.md:line-72 if unfamiliar.","GFBS: Give our whole heart to God, Focus on mission, prayer, and service, Be a sign of heaven's eternal union with God, Show that real love is sacrifice and self-giving",qa,theology-of-the-body vocation single-blessedness-chastity-and-discernment auto,,,Single Blessedness Chastity and Discernment,theology-vocation-refined.md:line-72,a80e606b6c0a42db
What is component 2 of 4 in four dimensions of chastity in marriage?,Respect,Explanation: Chastity in marriage orders conjugal love toward faithful and respectful self-gift. Source: Theology-of-the-Body-VOCATION.pdf p.1 Context: Vocation Marriage and Consecrated Life background is assumed; review theology-vocation-refined.md:line-108 if unfamiliar.,"FRPT: Fidelity, Respect, Purity of heart, Total self-giving love",qa,theology-of-the-body vocation chastity marriage vocation-marriage-and-consecrated-life auto,,,Vocation Marriage and Consecrated Life,theology-vocation-refined.md:line-108,ad39bd908e320152
What is component 2 of 4 in Chastity helps us…?,Respect our body and the dignity of others,Explanation: Love purely and selflessly; Respect our body and the dignity of others; Protect relationships from selfishness and sin; Prepare for our true vocation Source: Theology-of-the-Body-VOCATION.pdf p.2 Context: Single Blessedness Chastity and Discernment background is assumed; review theology-vocation-refined.md:line-67 if unfamiliar.,"LRPP: Love purely and selflessly, Respect our body and the dignity of others, Protect relationships from selfishness and sin, Prepare for our true vocation",qa,theology-of-the-body vocation single-blessedness-chastity-and-discernment auto,,,Single Blessedness Chastity and Discernment,theology-vocation-refined.md:line-67,8a572062685555f3
Complete: St. John Paul II called marriage the ___ — the first visible sign of God's ...,primordial sacrament,Explanation: St. John Paul II called marriage the primordial sacrament — the first visible sign of God's covenant love. Source: Theology-of-the-Body-VOCATION.pdf p.1 Context: Vocation Marriage and Consecrated Life background is assumed; review theology-vocation-refined.md:line-24 if unfamiliar.,,qa,theology-of-the-body vocation vocation-marriage-and-consecrated-life auto,,,Vocation Marriage and Consecrated Life,theology-vocation-refined.md:line-24,8012084943c9fbbe
What is component 2 of 5 in Ways to discern God's call?,Seek advice from a vocation director or trusted mentor,Explanation: Pray to the Holy Spirit; Seek advice from a vocation director or trusted mentor; Go on retreats and recollections; Receive the sacraments; Know yourself and your gifts Source: Theology-of-the-Body-VOCATION.pdf p.2 Context: Single Blessedness Chastity and Discernment background is assumed; review theology-vocation-refined.md:line-77 if unfamiliar.,"PSGRK: Pray to the Holy Spirit, Seek advice from a vocation director or trusted mentor, Go on retreats and recollections, Receive the sacraments, Know yourself and your gifts",qa,theology-of-the-body vocation single-blessedness-chastity-and-discernment auto,,,Single Blessedness Chastity and Discernment,theology-vocation-refined.md:line-77,eadcf3ea97a4554a
What is component 3 of 3 in The three evangelical counsels?,Obedience,Explanation: Poverty; Chastity; Obedience Source: Theology-of-the-Body-VOCATION.pdf p.1 Context: Vocation Marriage and Consecrated Life background is assumed; review theology-vocation-refined.md:line-39 if unfamiliar.,"PCO: Poverty, Chastity, Obedience",qa,theology-of-the-body vocation vocation-marriage-and-consecrated-life auto,,,Vocation Marriage and Consecrated Life,theology-vocation-refined.md:line-39,a83f5cc364507888
What is component 1 of 5 in Ways to discern God's call?,Pray to the Holy Spirit,Explanation: Pray to the Holy Spirit; Seek advice from a vocation director or trusted mentor; Go on retreats and recollections; Receive the sacraments; Know yourself and your gifts Source: Theology-of-the-Body-VOCATION.pdf p.2 Context: Single Blessedness Chastity and Discernment background is assumed; review theology-vocation-refined.md:line-77 if unfamiliar.,"PSGRK: Pray to the Holy Spirit, Seek advice from a vocation director or trusted mentor, Go on retreats and recollections, Receive the sacraments, Know yourself and your gifts",qa,theology-of-the-body vocation single-blessedness-chastity-and-discernment auto,,,Single Blessedness Chastity and Discernment,theology-vocation-refined.md:line-77,e05fe8d3dd407141
What is component 1 of 4 in four dimensions of chastity in marriage?,Fidelity,Explanation: Chastity in marriage orders conjugal love toward faithful and respectful self-gift. Source: Theology-of-the-Body-VOCATION.pdf p.1 Context: Vocation Marriage and Consecrated Life background is assumed; review theology-vocation-refined.md:line-108 if unfamiliar.,"FRPT: Fidelity, Respect, Purity of heart, Total self-giving love",qa,theology-of-the-body vocation chastity marriage vocation-marriage-and-consecrated-life auto,,,Vocation Marriage and Consecrated Life,theology-vocation-refined.md:line-108,dca1fc93807c4ece
