Front,Back,Extra,Mnemonic,CardType,Tags,ImageURL,ImageAlt,Topic,Source,CardID
What is component 3 of 6 in The aspects of language?,Pragmatics,Explanation: Semantics; Syntax; Pragmatics; Phonetics; Phonology; Morphology Source: MEDIALIT FINALS p.4 Context: Verbal and Non-Verbal Communication background is assumed; review media-literacy-finals-refined.md:line-203 if unfamiliar.,"SSPPPM: Semantics, Syntax, Pragmatics, Phonetics, Phonology, Morphology",qa,media-literacy finals verbal-and-non-verbal-communication auto,,,Verbal and Non-Verbal Communication,media-literacy-finals-refined.md:line-203,7da69ccb0cee7155
What is component 5 of 6 in The six skills in the media literacy definition (NAMLE)?,Communicate,Explanation: Access; Analyze; Evaluate; Create; Communicate; Act Source: MEDIALIT FINALS p.1 Context: Media and Media Literacy background is assumed; review media-literacy-finals-refined.md:line-18 if unfamiliar.,"AAECCA: Access, Analyze, Evaluate, Create, Communicate, Act",qa,media-literacy finals media-and-media-literacy auto,,,Media and Media Literacy,media-literacy-finals-refined.md:line-18,44c3e911792df6a7
What is component 1 of 2 in The two types of verbal communication?,Representational — conveying factual information as it is,"Explanation: Representational — conveying factual information as it is; Presentational — communicating information influenced by beliefs, bias, emotions, and culture Source: MEDIALIT FINALS p.4 Context: Verbal and Non-Verbal Communication background is assumed; review media-literacy-finals-refined.md:line-193 if unfamiliar.",,qa,media-literacy finals verbal-and-non-verbal-communication auto,,,Verbal and Non-Verbal Communication,media-literacy-finals-refined.md:line-193,3425e4a72e07766d
"Complete: In media literacy, ___ means where you find media and the ...",Access,"Explanation: In media literacy, Access means where you find media and the ability to locate content; Analyze means examine and interpret the main ideas to make sense of the message. Source: MEDIALIT FINALS p.1 Context: Media and Media Literacy background is assumed; review media-literacy-finals-refined.md:line-23 if unfamiliar.",,qa,media-literacy finals media-and-media-literacy auto,,,Media and Media Literacy,media-literacy-finals-refined.md:line-23,11f19122f8e50021
Complete: ___ is the study of how we produce ...,Phonetics,"Explanation: Phonetics is the study of how we produce speech sounds, while Phonology is the study of languages and the patterns found in speech. Source: MEDIALIT FINALS p.4 Context: Verbal and Non-Verbal Communication background is assumed; review media-literacy-finals-refined.md:line-223 if unfamiliar.",,qa,media-literacy finals verbal-and-non-verbal-communication auto,,,Verbal and Non-Verbal Communication,media-literacy-finals-refined.md:line-223,ebf0bff44a6a50d7
What is component 3 of 6 in The six skills in the media literacy definition (NAMLE)?,Evaluate,Explanation: Access; Analyze; Evaluate; Create; Communicate; Act Source: MEDIALIT FINALS p.1 Context: Media and Media Literacy background is assumed; review media-literacy-finals-refined.md:line-18 if unfamiliar.,"AAECCA: Access, Analyze, Evaluate, Create, Communicate, Act",qa,media-literacy finals media-and-media-literacy auto,,,Media and Media Literacy,media-literacy-finals-refined.md:line-18,70376efbabae8b01
What is component 3 of 3 in The characteristics of a language?,Relational and cultural — meaning can change based on culture,Explanation: Symbolic — a word is associated with a concrete or abstract meaning; Follows a set of rules — grammar; Relational and cultural — meaning can change based on culture Source: MEDIALIT FINALS p.4 Context: Verbal and Non-Verbal Communication background is assumed; review media-literacy-finals-refined.md:line-198 if unfamiliar.,"SFR: Symbolic — a word is associated with a concrete or abstract meaning, Follows a set of rules — grammar, Relational and cultural — meaning can change based on culture",qa,media-literacy finals verbal-and-non-verbal-communication auto,,,Verbal and Non-Verbal Communication,media-literacy-finals-refined.md:line-198,fb78d702f3af98ef
What is component 5 of 5 in The five components of the communication process?,Feedback,Explanation: Source; Channel; Message; Receiver; Feedback Source: MEDIALIT FINALS p.2 Context: Communication Process and Literacies background is assumed; review media-literacy-finals-refined.md:line-71 if unfamiliar.,"SCMRF: Source, Channel, Message, Receiver, Feedback",qa,media-literacy finals communication-process-and-literacies auto,,,Communication Process and Literacies,media-literacy-finals-refined.md:line-71,5d5cf12fce17e2ea
What is component 4 of 6 in The types of non-verbal communication?,Proxemics,Explanation: Kinesics; Haptics; Vocalics / Paralinguistics; Proxemics; Chronemics; Artifacts and Environment Source: MEDIALIT FINALS p.4 Context: Verbal and Non-Verbal Communication background is assumed; review media-literacy-finals-refined.md:line-163 if unfamiliar.,"KHVPCA: Kinesics, Haptics, Vocalics / Paralinguistics, Proxemics, Chronemics, Artifacts and Environment",qa,media-literacy finals verbal-and-non-verbal-communication auto,,,Verbal and Non-Verbal Communication,media-literacy-finals-refined.md:line-163,6e13f62bb3440516
What is component 4 of 6 in The six skills in the media literacy definition (NAMLE)?,Create,Explanation: Access; Analyze; Evaluate; Create; Communicate; Act Source: MEDIALIT FINALS p.1 Context: Media and Media Literacy background is assumed; review media-literacy-finals-refined.md:line-18 if unfamiliar.,"AAECCA: Access, Analyze, Evaluate, Create, Communicate, Act",qa,media-literacy finals media-and-media-literacy auto,,,Media and Media Literacy,media-literacy-finals-refined.md:line-18,9a767125d337ab59
